spec_id,source_file,score_label,score_column,model_family,rule,q,gate_type,threshold,z_threshold,one_way_cost_bps,split,months,net_annualized_return,net_annualized_volatility,net_sharpe,gross_annualized_return,gross_annualized_volatility,gross_sharpe,max_drawdown,average_drawdown,average_monthly_turnover,average_gross_exposure,average_net_exposure,exposure_normalized_annualized_return,exposure_normalized_sharpe,average_n_long,average_n_short,min_n_long,min_n_short,annualized_alpha,beta,alpha_tstat,alpha_beta_months,mean_rank_ic,rank_ic_tstat,rank_ic_hit_rate,rank_ic_months
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.2__none__thrna__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.2,none,,,25.0,test,108,-0.0008951357977238228,0.019110665713932842,-0.046839592671605056,0.0023580241663003765,0.01915994478369805,0.12307050948845458,-0.09820455692594776,-0.03970512078307026,0.1083939283110731,1.0,4.3207464355348254e-18,-0.0008951357977238228,-0.046839592671605056,1627.4722222222222,1626.4722222222222,1417,1416,0.0077005740076151845,-0.05718750392523909,1.3096626300874656,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.2__none__thrna__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.2,none,,,25.0,validation,60,-0.018686308115703265,0.014586365976134044,-1.281080438148712,-0.015374460457709627,0.014422296242999247,-1.0660202923769904,-0.08696605930348822,-0.055550551051970036,0.11206794570037991,1.0,8.326672684688674e-18,-0.018686308115703265,-1.281080438148712,1351.5166666666667,1350.5166666666667,1302,1301,-0.01587027129893669,-0.023093710283168443,-2.3456591295911817,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.2__sign__thr0__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.2,sign,0.0,,25.0,test,108,0.01666840595780994,0.0851921520758515,0.1956565898578204,0.020822256570743436,0.08507095763441828,0.2447633969306477,-0.16123556499404235,-0.04320048208977188,0.13574540718509165,0.5,0.4444444444444444,0.02605051524767954,0.15289269382750928,1534.4814814814815,92.93518518518519,0,0,-0.04711647789935265,0.45718590166758916,-2.872595557058818,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.2__sign__thr0__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.2,sign,0.0,,25.0,validation,60,0.004068757818852298,0.06360547723144548,0.06396867056035187,0.005533215286561255,0.06361322721558821,0.08698215023439904,-0.1181120566259991,-0.03353997031736265,0.04861081339709027,0.5,0.5,0.004129303839879528,0.0324602850227344,1351.5166666666667,0.0,1302,0,-0.05275386983921726,0.47266677848525607,-3.5866461234035354,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__qna__zscore__thrna__z0.25__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,,zscore,,0.25,25.0,test,108,-0.010784292466681,0.10786064534982846,-0.09998357076117893,-0.008034902400578803,0.10793672227326176,-0.07444085971257274,-0.2663830286309432,-0.03206119624895443,0.09222307511063603,0.05555555555555555,0.009259259259259259,-0.25370545234997555,-0.3772559701608494,0.07407407407407407,0.046296296296296294,0,0,-0.013186707687342017,0.055997251227237366,-0.3531192480133904,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__qna__zscore__thrna__z0.25__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,,zscore,,0.25,25.0,validation,60,-0.015790469402830354,0.047494376776947,-0.3324702938410762,-0.012256128939379218,0.047183525082760976,-0.25975441465811827,-0.10873878689463434,-0.04520976160815189,0.11878659790224444,0.06666666666666667,0.016666666666666666,-0.20801393733069096,-0.7706680599404089,0.1,0.05,0,0,-0.017250821271444353,0.01986684661966554,-0.7703625962565065,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__qna__zscore__thrna__z0.5__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,,zscore,,0.5,25.0,test,108,-0.010784292466681,0.10786064534982846,-0.09998357076117893,-0.008034902400578803,0.10793672227326176,-0.07444085971257274,-0.2663830286309432,-0.03206119624895443,0.09222307511063603,0.05555555555555555,0.009259259259259259,-0.25370545234997555,-0.3772559701608494,0.07407407407407407,0.046296296296296294,0,0,-0.013186707687342017,0.055997251227237366,-0.3531192480133904,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__qna__zscore__thrna__z0.5__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,,zscore,,0.5,25.0,validation,60,-0.015790469402830354,0.047494376776947,-0.3324702938410762,-0.012256128939379218,0.047183525082760976,-0.25975441465811827,-0.10873878689463434,-0.04520976160815189,0.11878659790224444,0.06666666666666667,0.016666666666666666,-0.20801393733069096,-0.7706680599404089,0.1,0.05,0,0,-0.017250821271444353,0.01986684661966554,-0.7703625962565065,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__qna__zscore__thrna__z0.75__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,,zscore,,0.75,25.0,test,108,-0.010784292466681,0.10786064534982846,-0.09998357076117893,-0.008034902400578803,0.10793672227326176,-0.07444085971257274,-0.2663830286309432,-0.03206119624895443,0.09222307511063603,0.05555555555555555,0.009259259259259259,-0.25370545234997555,-0.3772559701608494,0.07407407407407407,0.046296296296296294,0,0,-0.013186707687342017,0.055997251227237366,-0.3531192480133904,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__qna__zscore__thrna__z0.75__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,,zscore,,0.75,25.0,validation,60,-0.015790469402830354,0.047494376776947,-0.3324702938410762,-0.012256128939379218,0.047183525082760976,-0.25975441465811827,-0.10873878689463434,-0.04520976160815189,0.11878659790224444,0.06666666666666667,0.016666666666666666,-0.20801393733069096,-0.7706680599404089,0.1,0.05,0,0,-0.017250821271444353,0.01986684661966554,-0.7703625962565065,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__qna__zscore__thrna__z1__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,,zscore,,1.0,25.0,test,108,-0.010784292466681,0.10786064534982846,-0.09998357076117893,-0.008034902400578803,0.10793672227326176,-0.07444085971257274,-0.2663830286309432,-0.03206119624895443,0.09222307511063603,0.05555555555555555,0.009259259259259259,-0.25370545234997555,-0.3772559701608494,0.07407407407407407,0.046296296296296294,0,0,-0.013186707687342017,0.055997251227237366,-0.3531192480133904,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
