model,split,MthCalDt,rank_ic_t,num_obs
mlp_classifier,validation,2015-08-31,0.19340614545091692,7146
mlp_classifier,validation,2015-09-30,0.062048647655420196,7146
mlp_classifier,validation,2015-10-30,-0.03998109590179753,7151
mlp_classifier,validation,2015-11-30,0.21102503458681923,7177
mlp_er_train,test,2015-12-31,0.08460103124928407,7175
mlp_er_train,test,2016-01-29,0.0311038926636156,7146
mlp_er_train,test,2016-02-29,0.06790832264718394,7134
mlp_er_train,test,2016-03-31,-0.04539487968253524,7115
mlp_er_train,test,2016-04-29,0.05191464220517258,7106
mlp_er_train,test,2016-05-31,0.05811250992855321,7115
mlp_er_train,test,2016-06-30,0.08370511670738572,7119
mlp_er_train,test,2016-07-29,0.00935923134281803,7119
mlp_er_train,test,2016-08-31,0.028964274230923685,7082
mlp_er_train,test,2016-09-30,-0.005834822950573529,7090
mlp_er_train,test,2016-10-31,0.22824192396408394,7107
mlp_er_train,test,2016-11-30,0.1405358953962046,7096
mlp_er_train,test,2016-12-30,-0.055866184189408155,7108
mlp_er_train,test,2017-01-31,0.10192853105941282,7126
mlp_er_train,test,2017-02-28,0.0042357463887279624,7109
mlp_er_train,test,2017-03-31,0.10310832645376812,7110
mlp_er_train,test,2017-04-28,-0.006812584602642957,7129
mlp_er_train,test,2017-05-31,0.10539801708135317,7144
mlp_er_train,test,2017-06-30,0.054400218673294504,7146
mlp_er_train,test,2017-07-31,0.08470722985786708,7157
mlp_er_train,test,2017-08-31,0.06110263918689254,7132
mlp_er_train,test,2017-09-29,0.15967410720336864,7116
mlp_er_train,test,2017-10-31,0.0963602449105137,7152
mlp_er_train,test,2017-11-30,0.015657177664593225,7206
mlp_er_train,test,2017-12-29,0.10328090996939791,7205
mlp_er_train,test,2018-01-31,-0.07951126233137412,7242
mlp_er_train,test,2018-02-28,0.012296494618325816,7264
mlp_er_train,test,2018-03-29,0.011536682384355075,7211
mlp_er_train,test,2018-04-30,0.023995181556098314,7258
mlp_er_train,test,2018-05-31,0.07849498030780572,7270
mlp_er_train,test,2018-06-29,0.14745614301075077,7322
mlp_er_train,test,2018-07-31,0.08885309436514874,7355
mlp_er_train,test,2018-08-31,0.02408968460207141,7344
mlp_er_train,test,2018-09-28,-0.03458799395399913,7373
mlp_er_train,test,2018-10-31,0.05644364972060981,7413
mlp_er_train,test,2018-11-30,-0.011193543936101318,7412
mlp_er_train,test,2018-12-31,0.019493711759412148,7407
mlp_er_train,test,2019-01-31,0.09315629599100647,7408
mlp_er_train,test,2019-02-28,-0.018530213696578635,7390
mlp_er_train,test,2019-03-29,0.08922493787529213,7390
mlp_er_train,test,2019-04-30,-0.16629216411535455,7396
mlp_er_train,test,2019-05-31,0.20257834645095363,7458
mlp_er_train,test,2019-06-28,0.12417143593460213,7471
mlp_er_train,test,2019-07-31,-0.09949165739096134,7494
mlp_er_train,test,2019-08-30,0.04159834661705735,7486
mlp_er_train,test,2019-09-30,0.02738968940324859,7500
mlp_er_train,test,2019-10-31,0.11439148127797474,7504
mlp_er_train,test,2019-11-29,0.0656146115136466,7501
mlp_er_train,test,2019-12-31,-0.11505698463606094,7500
mlp_er_train,test,2020-01-31,-0.14867984705084136,7506
mlp_er_train,test,2020-02-28,-0.04118100037799383,7506
mlp_er_train,test,2020-03-31,0.19637432141231734,7475
mlp_er_train,test,2020-04-30,0.08226877316013144,7480
mlp_er_train,test,2020-05-29,-0.06450269847321871,7473
mlp_er_train,test,2020-06-30,0.14861510533639885,7519
mlp_er_train,test,2020-07-31,0.10275243161564683,7547
mlp_er_train,test,2020-08-31,0.009493778300053927,7574
mlp_er_train,test,2020-09-30,0.020509652593418314,7628
mlp_er_train,test,2020-10-30,-0.013716186844656484,7701
mlp_er_train,test,2020-11-30,0.054955961199507776,7773
mlp_er_train,test,2020-12-31,-0.2248265054303083,7875
mlp_er_train,test,2021-01-29,0.06864486864209436,7964
